test_id,left_channel,right_channel,body_source,engine_channel,engine_status,engine_duration_ms,whel_channel,energy_ratio,calc_crush_mm,calc_peak_g,status
6964,10SEATLERE00AC1P,10SEATRIRE00AC1P,SEAT_Rear,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.003,672.8,46.67,Valid
6968,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Short (50.0ms),50.0,10WHELLE0000AC1P,1.003,489.8,41.33,Valid
6976,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.006,686.9,41.03,Valid
6978,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,728.6,35.73,Valid
6982,10VEHCCG0000AC1P,,Comprehensive_Optimization_10only,,Missing,0.0,,1.005,754.8,28.64,Valid
6983,10FLORRE0000AC1P,,FLOR_Single,,Missing,0.0,,1.022,947.8,47.31,Valid
6991,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.015,854.6,34.62,Valid
6992,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,680.0,56.3,Valid
6994,10DOORLERE00AC1P,10DOORRIRE00AC1P,DOOR_Rear,10ENGN000000AC1P,Valid,330.0,10WHELLE0000AC1P,1.002,676.9,42.55,Valid
6996,10FORALERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Short (55.0ms),55.0,10WHELLE0000AC1P,1.004,724.1,39.64,Valid
6998,10SEATLERE00AC1P,,Comprehensive_Optimization_10only,10ENGN000000AC1P,Valid,350.0,10WHELRI0000AC1P,1.012,714.4,37.07,Valid
6999,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.037,724.2,44.11,Valid
7002,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,638.8,37.88,Valid
7009,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,358.1,26.78,Valid
7010,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.003,407.7,31.15,Valid
7021,10FORALERE00AC1P,10FORARIRE00AC1P,FORA_Rear,10ENGN000000AC1P,Valid,320.0,10WHELLE0000AC1P,1.002,662.6,20.68,Valid
